"KISA, 인공지능 보안 기술 아이디어·성과 세미나 연다"
"SK케미칼, 인공지능 기반 신약 개발 확대"
인공지능으로 딸기 병해 진단?조치 방법 알려준다
"LG유플러스, 인공지능 원격관리 '스마트 양계장' 만든다"
"경기도교육청, 권역별 교육 현장의 인공지능(AI) 성과 나눔회 개최"
인공지능 로봇이 도슨트로…서울시민대학 '가이드봇' 운영
"경기교육청, 인공지능 교육성과 나눔회 개최"
"넷마블, 게임콘서트서 인공 지능과 게임의 만남 소개"
"경기도교육청, 권역별 '인공지능 교육' 성과 공유"
"LG유플러스, 인공지능 원격관리 ‘스마트 양계장’ 만든다"
"'금융 시장에 인공지능 기술 더해'..핀인사이트, 금융 데이터분석 솔루션 시장..."
한·캐 인공지능 실증기업 현장 점검
[김병필의 인공지능 개척시대] 인공지능 추천 시스템의 명과 암
"한수원, 세계 최대 규모의 인공지능 기반 설비 자동예측진단시스템 상품화 나..."
인공지능 서비스 모든 단계에 ‘사람 중심’ 명시
"LG유플러스, 인공지능 원격관리 '스마트 양계장' 만든다"
"“인공지능, 환경문제 해결 도울 수 있다”"
"경기도교육청, 권역별 교육 현장의 인공지능(AI) 성과 나눔회 개최"
"삼성전자, 美 RSNA 2021 참가… 의료장비 인공지능(AI) 강화"
"교육의 중심이 된 '인공지능', 겨울방학 캠프로 만나다"
농협은행에 '인공지능 인간' 취업한다
"서울대병원, 인공지능(AI) 위암 진단모델 개발"
인공지능 이용한 위암 진단 모델 개발
아이티공간 '설비 예지보전 시스템' 인공지능 기술검증서 확보
"광주인공지능사관학교, 전국 AI 문제해결 아이디어 공모전 대상 수상"
"동서대, 인공지능 가상 아이돌 메타버스 공연 마련"
"[노트북] 윤영찬, 알고리즘 및 인공지능에 관한 법률 제정 추진"
"LG유플러스, 인공지능 원격관리 ‘스마트 양계장’ 만든다"
"네이버 독거어르신 돕는 인공지능서비스 내놔, 부산에서 베타서비스"
"전국 인공지능 문제해결 아이디어 공모 왕중왕전, 동북권 최우수상·특별상"
"창원대, '한국제조데이터인공지능학회' 창립 총회"
"KT 의료 인공지능 기술, 국제대회 1위 수상"
국가 인공지능 집적단지 착공식
"‘딥세일즈’, ‘트레이드키’와 인공지능 수출입 서비스 위한 전략적 제휴 체..."
"제이엘케이 ""인공지능 X-ray 폐질환 솔루션, 일본 PMDA 인허가 앞둬"""
[CEO] 인공지능 물류로봇 '고카트' 국제인증 받아 수출 날개달것
"KT 인공지능 기술, 국제 의료 AI 경진대회 1위 수상"
"자율주행 인공지능 SW 기업 '헴닷에이아이', 2600만달러 투자 유치"
인공지능 학습 데이터 플랫폼 '셀렉트스타' 퍼스트 펭귄 선정
라젠-광주청각장애인센터 인공지능 솔루션 개발 업무협약
"과기정통부·질병청, '인공지능·데이터' 기반 방역정책 협력 강화"
"광주인공지능사관학교 '하이파이브팀', AI 공모전 '대상'"
크랜베리 건강 유익성 규명 위해 인공지능 적용
"GS25 편의점, 인공지능(AI) 카메라가 지킨다"
"중기부, 'K-인공지능 제조데이터 경진대회' 과제 공개"
"SK텔레콤, 인공지능전문가 육성하는 'AI펠로우십' 3기 과정 마무리"
"KAI, 인공지능ㆍ빅데이터 분석업체 지분 투자…미래 요소기술 확보"
"영남이공대학교, 차세대 인공지능 반도체 선도기업 탐방"
"전북테크노파크, 2021 인공지능 학습용 데이터 활용"
"메가존클라우드-마인즈랩, 클라우드 기반 인공지능 플랫폼 '맞손'"
대화형 인공지능(AI) 글로벌 시장... 7조8천억원에서 오는 2026년 22조원으로...
"국민대-NH농협, '인공지능활용' 교육과정 수료식"
"더구루, 인공지능 기반 데이터마이닝 기술 2건 특허출원"
넷마블 게임콘서트 '넷마블TV' 통해 공개…게임 속 인공지능 살핀다
"과기정통부, '인공지능 신뢰성 제고 위한 공개 세미나' 개최"
"인천재능대, 인공지능·바이오 분야 특성화 대학으로 비전·방향 제시"
"NH농협은행, '인공지능(AI) 은행원' 정식 직원 채용"
"시민들이 낸 ‘아동 안전’ 아이디어, 인공지능으로 구현"
"전북테크노파크, 2021 인공지능 학습용 데이터 활용 해커톤 경진대회 시상식"
"슈나이더 일렉트릭, 글로벌 인공지능 허브 신설"
"KT 초등학생 인공지능 코딩 경진대회 열어, “미래 인재양성 힘써”"
인공지능이 매장 이상 감지하고 원격으로 매장 관리한다
"유네스코, 인공지능 윤리 권고 채택…최초의 세계적 표준"
"세계적 인공지능 석학, AI의 편향을 말하다"
"GS25, 무인편의점 보안 강화...인공지능 카메라 설치"
[광주24시] 광주서 국가 인공지능 집적단지 조성 본격화
인류는 인공지능의 '사냥감'이 되지 않을 자신이 있는가?[과학을읽다]
"뷰노, 세계 최대 영상의학회 RSNA2021 참가…의료인공지능 솔루션 전시"
"포항TP, ‘전국 인공지능 문제해결 아이디어 공모전’ 최우수상 수상"
"창원시, 한-캐 인공지능 공동연구사업 실증기업 방문"
"""쓰러짐 포착""…'골든타임' 지켜주는 인공지능 CCTV 나왔다"
인공지능 돌봄서비스를 확대한다
인공지능으로 위험징후 포착
"2년만에 돌아온 달서경제포럼, '빅데이터·인공지능' 주제로 귀환"
"의료 인공지능 기업 루닛, 720억 프리 IPO 진행"
"목암생명과학연구소, 신현진 신임 부소장 영입… “인공지능 분야 역량 강화 ..."
"AI, 구독 서비스로... 우리 일상 속에 더 가까이 다가온 인공지능 모델들"
"시민들이 낸 ‘아동 안전’ 아이디어, 인공지능으로 구현"
"창원대, 한국제조데이터인공지능학회 창립총회 개최"
인공지능 가상 아이돌 뜬다....메타버스 공연 동서대-(주)펄스나인도 합작
"인공지능 가상인간, 농협은행 신입행원 된다…사번도 부여키로"
"한국IT직업전문학교 인공지능학과, 내신·수능 미반영 2022학년도 신입생 선발"
"KT, 국제의료 인공지능 경진대회서 1위"
"가상현실·인공지능 등 자격증 정보, 한 자리서 만난다"
"광주인공지능사관학교, AI 문제해결 아이디어 공모전 ‘대상’"
"인공지능 신약개발 기업 신테카바이오, 250억원 자금조달… AI 슈퍼컴퓨팅 인..."
인공지능 위암 진단 모델 개발
인공지능(AI) 기반 '결핵 진단 기술 고도화' MOU
"SK텔레콤, 서울모빌리티쇼에서 자동차 전용 인공지능 플랫폼 선보여"
인공지능 현재와 미래… ‘AICON 광주 2021’ 컨퍼런스
광주 인공지능 산업융합 집적단지 22일 착공
"KT 인공지능 기술, 국제 의료 AI 경진대회 1위 수상"
“119죠? 길에 사람이 쓰러져 있어요” CCTV 보고 인공지능이 응급 신고
"중앙대, 인공지능(AI) 대학원 개원…9번째 AI 전문 대학원"
"카카오, 한글 특화 인공지능 공개…네이버와 '토종 AI 경쟁' 불붙었다"
民·軍 합동으로 인공지능·양자 기반 국방기술 개발
"쿨사인, 자체 개발 인공지능 시스템 기반 AI Edge 출시"
인공지능(AI) 등 혁신의료기술 '급여적용 기준' 확정
"[브레인셀럽] 인공지능의 미래, 축복일까 재앙일까"
"""인공지능 알고리즘 이제 그만"" 카카오, Daum 뉴스 구독 전환"
"과기정통부, 광주 인공지능 핵심 거점으로 만든다"
"메가존클라우드-마인즈랩, 클라우드 기반 인공지능 플랫폼 '맞손'"
"KT 인공지능 기술, 국제 의료 AI 경진대회 1위 수상"
대화형 인공지능(AI) 글로벌 시장... 7조8천억원에서 오는 2026년 22조원으로...
"국민대-NH농협, '인공지능활용' 교육과정 수료식"
"더구루, 인공지능 기반 데이터마이닝 기술 2건 특허출원"
넷마블 게임콘서트 '넷마블TV' 통해 공개…게임 속 인공지능 살핀다
"과기정통부, '인공지능 신뢰성 제고 위한 공개 세미나' 개최"
"인천재능대, 인공지능·바이오 분야 특성화 대학으로 비전·방향 제시"
"NH농협은행, '인공지능(AI) 은행원' 정식 직원 채용"
"인천재능대, 인공지능·바이오 분야 특성화 대학으로 비전·방향 제시"
"NH농협은행, '인공지능(AI) 은행원' 정식 직원 채용"
"시민들이 낸 ‘아동 안전’ 아이디어, 인공지능으로 구현"
"전북테크노파크, 2021 인공지능 학습용 데이터 활용 해커톤 경진대회 시상식"
"KT 인공지능 기술, 국제 의료 AI 경진대회 1위 수상"
"슈나이더 일렉트릭, 글로벌 인공지능 허브 신설"
"KT 초등학생 인공지능 코딩 경진대회 열어, “미래 인재양성 힘써”"
인공지능이 매장 이상 감지하고 원격으로 매장 관리한다
"동서대, '인공지능 가상 아이돌 메타버스 공연' 펼쳐"
"중기부, 'K-인공지능 제조데이터 경진대회' 과제 공개"
"중기부, 'K-인공지능 제조데이터 경진대회' 과제 공개"
"과기정통부·질병청, 인공지능 기반 방역정책 수립 협력 강화"
"""인공지능 신뢰성 어떻게 확보할까"""
"유네스코, 인공지능 윤리 권고 채택…최초의 세계적 표준"
"세계적 인공지능 석학, AI의 편향을 말하다"
"GS25, 무인편의점 보안 강화...인공지능 카메라 설치"
동서대 - 펄스나인 인공지능 아이돌 메타버스 공연
광주 첨단3지구 인공지능 집적단지 착공
[광주24시] 광주서 국가 인공지능 집적단지 조성 본격화
"KT 인공지능 기술, 국제 의료 AI 경진대회 1위 수상"
"KT 인공지능 기술, 국제 의료 AI 경진대회 1위 수상"
인류는 인공지능의 '사냥감'이 되지 않을 자신이 있는가?[과학을읽다]
"KAI, 인공지능·빅데이터 코난테크놀로지 지분 10% 인수"
"뷰노, 세계 최대 영상의학회 RSNA2021 참가…의료인공지능 솔루션 전시"
"서울대병원, 인공지능 이용한 위암 진단 모델 개발"
"동서대, ‘인공지능 가상 아이돌 메타버스 공연’ 개최"
"포항TP, ‘전국 인공지능 문제해결 아이디어 공모전’ 최우수상 수상"
"창원시, 한-캐 인공지능 공동연구사업 실증기업 방문"
"KT가 선보인 인공지능 기술, 국제 의료AI 경진대회 1위에"
"광주인공지능사관학교 교육생, 인공지능 공모전 ‘대상’"
"창원시, 한-캐 인공지능 공동연구사업 실증기업 방문"
"KT가 선보인 인공지능 기술, 국제 의료AI 경진대회 1위에"
"광주인공지능사관학교 교육생, 인공지능 공모전 ‘대상’"
'인공지능'으로 감염병 위기 대응 등 방역정책 수립 지원
"""쓰러짐 포착""…'골든타임' 지켜주는 인공지능 CCTV 나왔다"
인공지능 돌봄서비스를 확대한다
인공지능으로 위험징후 포착
"2년만에 돌아온 달서경제포럼, '빅데이터·인공지능' 주제로 귀환"
인공지능으로 위암 진단 정확도 높인다
"의료 인공지능 기업 루닛, 720억 프리 IPO 진행"
KT 인공지능 기술 국제 의료 AI 경진대회 1위 수상
"목암생명과학연구소, 신현진 신임 부소장 영입… “인공지능 분야 역량 강화 ..."
'인공지능 핵심거점' 광주 AI 집적단지 착공
제이엘케이 '오미크론' 변이 확산에 인공지능 X-ray 페질환 솔루션 일본 PMDA...
"KAI, 빅데이터·인공지능 투자 강화"
인공지능-방역 융합 프로젝트 'AI+X' 어디까지왔나…중간 점검
"AI, 구독 서비스로... 우리 일상 속에 더 가까이 다가온 인공지능 모델들"
"동서대, '인공지능 가상 아이돌 메타버스 공연' 개최"
"국민대-NH농협, ‘인공지능활용’ 교육과정 수료식 개최"
"시민들이 낸 ‘아동 안전’ 아이디어, 인공지능으로 구현"
국가 인공지능 집적단지 조성 본격화
"동서대, '인공지능 가상 아이돌 메타버스 공연' 개최"
"국민대-NH농협, ‘인공지능활용’ 교육과정 수료식 개최"
"KT 인공지능 기술, 국제 의료 AI 경진대회 1위 수상"
"시민들이 낸 ‘아동 안전’ 아이디어, 인공지능으로 구현"
"서울대병원, 인공지능을 이용한 위암 진단 모델 개발"
"창원대, 한국제조데이터인공지능학회 창립총회 개최"
"농협은행, '인공지능 은행원' 채용 예정…""고객 소통 담당"""
인공지능 가상 아이돌 뜬다....메타버스 공연 동서대-(주)펄스나인도 합작
"인공지능 가상인간, 농협은행 신입행원 된다…사번도 부여키로"
"농협은행, '인공지능 은행원' 채용 예정…""고객 소통 담당"""
"광주시, 4000억 투입 첨단3지구에 '국가 인공지능 집적단지' 착공"
"KT 인공지능 기술, 국제 의료 AI 경진대회 1위 수상"
인공지능 가상 아이돌 뜬다....메타버스 공연 동서대-(주)펄스나인도 합작
"인공지능 가상인간, 농협은행 신입행원 된다…사번도 부여키로"
"한국IT직업전문학교 인공지능학과, 내신·수능 미반영 2022학년도 신입생 선발"
창원대 한국제조데이터인공지능학회(KSMA) 창립총회 개최
"KT, 국제의료 인공지능 경진대회서 1위"
"슈나이더일렉트릭, 글로벌 인공지능 허브 신설"
"광주인공지능사관학교 교육생, 인공지능 공모전 ‘대상’"
"KT 인공지능 기술, 국제 의료 AI 경진대회 1위 수상"
"KT, 국제의료 인공지능 경진대회서 1위"
"슈나이더일렉트릭, 글로벌 인공지능 허브 신설"
"광주시, 국가 인공지능 혁신거점 AI 집적단지 착공"
"광주인공지능사관학교 교육생, 인공지능 공모전 ‘대상’"
"가상현실·인공지능 등 자격증 정보, 한 자리서 만난다"
"광주인공지능사관학교, AI 문제해결 아이디어 공모전 ‘대상’"
"동부권 ICT이노베이션스퀘어, ‘전국 인공지능 문제해결 아이디어 공모 왕중왕..."
"인공지능 신약개발 기업 신테카바이오, 250억원 자금조달… AI 슈퍼컴퓨팅 인..."
인공지능 위암 진단 모델 개발
인공지능 위암 진단 모델 개발
인공지능(AI) 기반 '결핵 진단 기술 고도화' MOU
"뷰노 'RSNA 2021' 참가, 9편의 최신 임상연구 발표와 의료인공지능 솔루션 전..."
"SK텔레콤, 서울모빌리티쇼에서 자동차 전용 인공지능 플랫폼 선보여"
인공지능 현재와 미래… ‘AICON 광주 2021’ 컨퍼런스
"KT 인공지능 기술, 국제 의료 AI 경진대회 1위 수상"
광주 인공지능 산업융합 집적단지 22일 착공
"""인공지능 신뢰성 확보해야"" 공개세미나 개최"
"KT 인공지능 기술, 국제 의료 AI 경진대회 1위 수상"
"유네스코, '인공지능 윤리' · '오픈사이언스' 권고 채택"
"광주시, 국가 인공지능 집적단지 조성 본격 추진"
“119죠? 길에 사람이 쓰러져 있어요” CCTV 보고 인공지능이 응급 신고
"광주시, 인공지능 혁신거점 ‘국가 인공지능 집적단지’ 조성 본격화"
"중앙대, 인공지능(AI) 대학원 개원…9번째 AI 전문 대학원"
"카카오, 한글 특화 인공지능 공개…네이버와 '토종 AI 경쟁' 불붙었다"
"KT 인공지능 기술, 세계적 우수성 인정 국제의료 AI 경진대회 1위 수상"
民·軍 합동으로 인공지능·양자 기반 국방기술 개발
"국민대-NH농협, '인공지능활용' 교육과정 수료식 개최"
"쿨사인, 자체 개발 인공지능 시스템 기반 AI Edge 출시"
인공지능(AI) 등 혁신의료기술 '급여적용 기준' 확정
"쿨사인, 자체 개발 인공지능 시스템 기반 AI Edge 출시"
"KT 인공지능, 국제의료영상처리학회 개최 '국제 의료 AI 경진대회' 1위 수상"
인공지능(AI) 등 혁신의료기술 '급여적용 기준' 확정
"[브레인셀럽] 인공지능의 미래, 축복일까 재앙일까"
"목암생명과학연구소, 신현진 부소장 취임...""제약과 인공지능 융합"""
"""인공지능 알고리즘 이제 그만"" 카카오, Daum 뉴스 구독 전환"
"광주시, 국가 인공지능 집적단지 착공"
"지미션, '2021 OCR 인공지능 학습데이터 해커톤' 접수 연장"
"광주시, '인공지능 혁신거점' 첨단에 국가 AI집적단지 본격 착공"
"동부권 ICT이노베이션스퀘어, ‘전국 인공지능 문제해결 아이디어 공모 왕중왕..."
"동부권 ICT이노베이션스퀘어, ‘전국 인공지능 문제해결 아이디어 공모 왕중왕..."
'인공지능 뱅커' 시대 성큼···일자리 감소 신호탄?
한강공원 자전거족 안전 위해 ‘인공지능 CCTV’ 설치
"사람 대신 인공지능이…GS25, 업계 최초 무인 편의점 방범 시스템 상용화"
"광주인공지능사관학교 교육생, 인공지능 공모전... '대상' 수상"
"중기부, 'K-인공지능 제조데이터 경진대회' 과제 공개"
"KT 의료 인공지능 기술, 국제 의료 경진대회서 1위 수상"
"KT, 인공지능 기술로 국제 의료 AI 경진대회 1위"
중앙대학교 인공지능대학원 개원식
"軍, 지뢰 제거에 인공지능 활용...개발 지원 위한 '실증랩' 개소"
"軍, 지뢰 제거에 인공지능 활용...개발 지원 위한 '실증랩' 개소"
자율점검부터 윤리기준까지…‘인공지능 신뢰성 확보’ 공개 세미나
"국민대-NH농협, '인공지능활용' 교육과정 수료식 개최"
[과학게시판] 중앙대 인공지능대학원 개원식 등
"광주인공지능사관학교 교육생, 인공지능 공모전 '대상'"
[브레인 북스] 인공지능은 무엇이 되려 하는가
"유네스코, 인공지능 기술이 '전례 없는 도전' 불러온다 경고...193개국 권고안..."
"최초의 '세계적 AI 표준' 지침 마련됐다!... 유네스코, '인공지능 윤리 권고..."
감염병 확산 추세 분석 인공지능 개발 착수…3년간 144억 투입
인공지능이 CCTV 영상 속 쓰러진 사람 실시간 탐지한다
"[포토]'인공지능, 메타버스와 미래 세상'"
"SKC&C, 인공지능 기반 뇌출혈 진단 소프트웨어를 미국학회에서 알려"
"국립생태원 ‘인공지능, 수리모델 그리고 미래생태학’ 제작"
[트렌드] 노후한 창고에 인공지능 입히니 기업 맞춤 첨단물류센터로 변신
"영남이공대, 차세대 인공지능 반도체 산업현장 탐방"
[브레인셀럽클래스] 4차 산업혁명시대의 인공지능과 메타버스
"창원시, 캐나다 워털루대학에 인공지능 연구거점 마련"
"서울대병원, 인공지능(AI) 위암 진단 모델 개발…위내시경으로 실시간 병변 탐..."
대전시민 안전 지키는 인공지능 '딥뷰'
"GC녹십자 목암생명과학연구소 부소장에 신현진, ""인공지능과 융합"""
"GC녹십자 목암생명과학연구소 부소장에 신현진, ""인공지능과 융합"""
"광주인공지능사관학교 교육생, 인공지능 공모전 ‘대상’"
"마인즈랩, 메가존 클라우드와 인공지능 플랫폼 구축 공동사업 MOU 체결"
"GS25, 무인점포 방범에 인공지능카메라 활용한 시스템 상용화 추진"
"동서울대 전자공학과, '인공지능 학술대회' 우수논문상"
"첨단3지구, 광주 인공지능 집적단지 '첫 삽'떴다"
"KT 인공지능 기술, 국제 의료 AI 경진대회 1위 수상"
창원대 한국제조데이터인공지능학회 창립
"영남이공대, 차세대 인공지능 반도체 산업현장 탐방"
AI 반도체 기술 한눈에...'2021 인공지능반도체 미래기술 컨퍼런스' 개최
인공지능으로 지뢰제거작전 정확도·안정성 높인다
중소 제조 현장 고민 인공지능 활용해 해결한다
"LG CNS, 2022년 정기임원인사...인공지능, 클라우드, 빅데이터 등 디지털전환..."
